ticker,regime,feature,shap_importance,method
WDC,R2_covid_zirp,surprise_eps,0.0,shap
WDC,R2_covid_zirp,sentiment_score,0.2588929753032945,shap
WDC,R3_rate_hikes,fed_funds,1.486570693044322,shap
WDC,R3_rate_hikes,treasury_10y,0.5337175588604379,shap
WDC,R3_rate_hikes,yield_curve,0.9784133435111958,shap
WDC,R3_rate_hikes,baa_spread,0.14906561750567132,shap
WDC,R3_rate_hikes,vix,0.15312959892621097,shap
WDC,R3_rate_hikes,dxy,0.3591919934684128,shap
WDC,R3_rate_hikes,soxx,1.3058003305809447,shap
WDC,R3_rate_hikes,botz,0.4068864083310537,shap
WDC,R3_rate_hikes,surprise_eps,0.0,shap
WDC,R3_rate_hikes,sentiment_score,1.7650774330213337,shap
WDC,R4_ai_boom,fed_funds,0.050113011167611514,shap
WDC,R4_ai_boom,treasury_10y,0.5982857679971071,shap
WDC,R4_ai_boom,yield_curve,0.3607867334774564,shap
WDC,R4_ai_boom,baa_spread,0.46849323342641247,shap
WDC,R4_ai_boom,vix,0.26813378039178454,shap
WDC,R4_ai_boom,dxy,0.439577677482423,shap
WDC,R4_ai_boom,soxx,2.794547838658379,shap
WDC,R4_ai_boom,botz,0.22326812677247124,shap
WDC,R4_ai_boom,surprise_eps,0.0,shap
WDC,R4_ai_boom,sentiment_score,1.0785371820213674,shap
LRCX,R1_baseline,fed_funds,0.0,permutation
LRCX,R1_baseline,treasury_10y,0.0,permutation
LRCX,R1_baseline,yield_curve,0.0,permutation
LRCX,R1_baseline,baa_spread,0.0,permutation
LRCX,R1_baseline,vix,0.0,permutation
LRCX,R1_baseline,dxy,0.0,permutation
LRCX,R1_baseline,soxx,0.0,permutation
LRCX,R1_baseline,botz,0.0,permutation
LRCX,R1_baseline,surprise_eps,0.0,permutation
LRCX,R1_baseline,sentiment_score,0.0,permutation
LRCX,R2_covid_zirp,fed_funds,0.08945882354660485,shap
LRCX,R2_covid_zirp,treasury_10y,0.19530422469112516,shap
LRCX,R2_covid_zirp,yield_curve,0.15509597249557067,shap
LRCX,R2_covid_zirp,baa_spread,1.1828633076402497,shap
LRCX,R2_covid_zirp,vix,0.4081806998346344,shap
LRCX,R2_covid_zirp,dxy,0.2034695124552743,shap
LRCX,R2_covid_zirp,soxx,1.960697251869646,shap
LRCX,R2_covid_zirp,botz,0.5127980911285157,shap
LRCX,R2_covid_zirp,surprise_eps,0.0,shap
LRCX,R2_covid_zirp,sentiment_score,0.0013036915787057583,shap
LRCX,R3_rate_hikes,fed_funds,0.3091825780428369,shap
LRCX,R3_rate_hikes,treasury_10y,0.10284223157693535,shap
LRCX,R3_rate_hikes,yield_curve,0.21746564191579967,shap
LRCX,R3_rate_hikes,baa_spread,0.16265490978615593,shap
LRCX,R3_rate_hikes,vix,0.16498676722106484,shap
LRCX,R3_rate_hikes,dxy,0.2789241474320777,shap
LRCX,R3_rate_hikes,soxx,4.86582805912888,shap
LRCX,R3_rate_hikes,botz,1.041404297793176,shap
LRCX,R3_rate_hikes,surprise_eps,0.0,shap
LRCX,R3_rate_hikes,sentiment_score,0.11698884117198353,shap
LRCX,R4_ai_boom,fed_funds,0.25510227114631495,shap
LRCX,R4_ai_boom,treasury_10y,0.7839841755258464,shap
LRCX,R4_ai_boom,yield_curve,3.7526951119677223,shap
LRCX,R4_ai_boom,baa_spread,0.25031743918373406,shap
LRCX,R4_ai_boom,vix,0.16098207501456796,shap
LRCX,R4_ai_boom,dxy,0.2709723984681991,shap
LRCX,R4_ai_boom,soxx,4.743256052015394,shap
LRCX,R4_ai_boom,botz,0.4876381104932519,shap
LRCX,R4_ai_boom,surprise_eps,0.0,shap
LRCX,R4_ai_boom,sentiment_score,0.06954116999762414,shap
ASML,R1_baseline,fed_funds,0.0,permutation
ASML,R1_baseline,treasury_10y,0.0,permutation
ASML,R1_baseline,yield_curve,0.0,permutation
ASML,R1_baseline,baa_spread,0.0,permutation
ASML,R1_baseline,vix,0.0,permutation
ASML,R1_baseline,dxy,0.0,permutation
ASML,R1_baseline,soxx,0.0,permutation
ASML,R1_baseline,botz,0.0,permutation
ASML,R1_baseline,surprise_eps,0.0,permutation
ASML,R1_baseline,sentiment_score,0.0,permutation
ASML,R2_covid_zirp,fed_funds,0.6712000711740599,shap
ASML,R2_covid_zirp,treasury_10y,2.2719159233738067,shap
ASML,R2_covid_zirp,yield_curve,1.1705223660705224,shap
ASML,R2_covid_zirp,baa_spread,1.7092276729284037,shap
ASML,R2_covid_zirp,vix,0.4406389532679612,shap
ASML,R2_covid_zirp,dxy,1.690343335388729,shap
ASML,R2_covid_zirp,soxx,10.159482005356379,shap
ASML,R2_covid_zirp,botz,30.860045005259753,shap
ASML,R2_covid_zirp,surprise_eps,0.0,shap
ASML,R2_covid_zirp,sentiment_score,0.0,shap
ASML,R3_rate_hikes,fed_funds,1.4057337316513132,shap
ASML,R3_rate_hikes,treasury_10y,2.021631432900207,shap
ASML,R3_rate_hikes,yield_curve,2.8857767828532674,shap
ASML,R3_rate_hikes,baa_spread,1.32345709032513,shap
ASML,R3_rate_hikes,vix,10.210005337551657,shap
ASML,R3_rate_hikes,dxy,9.501587407362805,shap
ASML,R3_rate_hikes,soxx,24.501356357983177,shap
ASML,R3_rate_hikes,botz,36.9996208682487,shap
ASML,R3_rate_hikes,surprise_eps,0.0,shap
ASML,R3_rate_hikes,sentiment_score,0.0,shap
ASML,R4_ai_boom,fed_funds,18.21010702488861,shap
